url,retweet_count,quote_tweet_count,like_count
https://twitter.com/10_do_p/status/1331624852449476608,4,2,4
https://twitter.com/10and96/status/1230809769738268674,"2,851",2,849
https://twitter.com/10fairycats/status/1317417914136289280,45,0,13
https://twitter.com/10fairycats/status/1331621688627195908,84,5,12
https://twitter.com/10ofovir/status/1317054931149312000,188,8,27
https://twitter.com/10thwedaug/status/1307215289520513025,56,3,11
https://twitter.com/10velyluv/status/1307255796820918273,"1,045",4,191
https://twitter.com/10velyluv/status/1307527751654494213,24.2K,65,"3,964"
https://twitter.com/1100nynxx/status/1317103040420179969,3,1,2
https://twitter.com/1100nynxx/status/1317105701446012930,31,3,7
https://twitter.com/11021997_TH/status/1317097380160811008,"5,021",97,"1,660"
https://twitter.com/11021997_TH/status/1317097380160811008?s=19,"5,021",97,"1,660"
https://twitter.com/11021997_TH/status/1317101094032404481,"4,173",59,"2,027"
https://twitter.com/11021997_TH/status/1317105265032925185,548,2,178
https://twitter.com/1112thunder/status/1317112601235529728,"4,442",44,"3,556"
https://twitter.com/111_democracy/status/1317131086565011456,2,1,0
https://twitter.com/1122Nookji/status/1317100806974316548,10,0,5
https://twitter.com/1124gfjljvddt/status/1330694757933223936,357,9,109
https://twitter.com/1142aaaaaa/status/1317111597886631936,"1,331",10,359
https://twitter.com/1142aaaaaa/status/1317267875061587968,11.3K,107,"5,204"
https://twitter.com/1142aaaaaa/status/1317267875061587968?s=09,11.3K,107,"5,206"
https://twitter.com/1142aaaaaa/status/1317289189390446592,"1,251",16,664
https://twitter.com/1199Newyork/status/1331595882010054656,0,1,3
https://twitter.com/11Hikki/status/1307266531584139264,40.5K,173,"9,772"
https://twitter.com/11WAN_/status/1317420002723520512,3,0,3
https://twitter.com/11_chimchim/status/1296046406382137346,135,1,45
https://twitter.com/11_chimchim/status/1317080948467404801,"2,884",41,491
https://twitter.com/11_chimchim/status/1317100350428434433,"4,718",79,"1,061"
https://twitter.com/11_chimchim/status/1317106231694172161,4,4,2
https://twitter.com/11_chimchim/status/1317117999669600256,35,3,3
https://twitter.com/11_chimchim/status/1317385705711046656,592,4,196
https://twitter.com/11_chimchim/status/1317419029649215495,16.1K,103,"3,431"
https://twitter.com/11_chimchim/status/1317430810488700928,232,2,85
https://twitter.com/11_chimchim/status/1317433628951932928,223,2,81
https://twitter.com/11perq/status/1284752226896904192,0,4,0
https://twitter.com/11sejessped/status/1317435405365514240,6,0,2
https://twitter.com/11xtoday/status/1317031610361946113,123,6,11
https://twitter.com/11xtoday/status/1317043371207094274,150,1,32
https://twitter.com/11xtoday/status/1317077378573631489,4,2,5
https://twitter.com/1206Kb/status/1317477468471656449,2,0,0
https://twitter.com/1208Piya/status/1268720152822124545,"5,670",61,"1,120"
https://twitter.com/1212312121Pch/status/1307505977445416961,173,7,31
https://twitter.com/1212312121iii/status/1317072712154501122,11,2,3
https://twitter.com/1212312121iii/status/1317371975182868484,1,1,0
https://twitter.com/1212312121wow/status/1317428689349484544,16,5,3
https://twitter.com/1223Joooy/status/1317253991290556416,6,2,9
https://twitter.com/1223Joooy/status/1317256526382436352,4,0,4
https://twitter.com/12245670ttt/status/1317409744236146688,0,1,1
https://twitter.com/12345678hjskk/status/1307347373518065665,3,0,2
https://twitter.com/12345678hjskk/status/1307459940848558081,283,3,23
https://twitter.com/12345678hjskk/status/1307463099788656641,81,2,12
https://twitter.com/12345678hjskk/status/1331498535922012161,0,1,1
https://twitter.com/123456bkk/status/1317395509707902977,0,1,0
https://twitter.com/12345iheretu/status/1317077929193476103,"3,324",75,586
https://twitter.com/12345uye/status/1317100205578149890,4,0,2
https://twitter.com/1234badorgood/status/1230707513256857603,"1,160",11,363
https://twitter.com/1234badorgood/status/1317081212238745602,213,7,58
https://twitter.com/1234badorgood/status/1317092403493314561,2,2,0
https://twitter.com/1234badorgood/status/1317375176498032646,97,2,15
https://twitter.com/1234badorgood/status/1331585729483341824,23,4,11
https://twitter.com/1234badorgood/status/1331589050281590784,49,3,15
https://twitter.com/1234eieei/status/1317076790314070016,1,1,0
https://twitter.com/1234realpcy/status/1317067790394687488,5,1,1
https://twitter.com/123_wwkk/status/1317092145837211648,12,2,0
https://twitter.com/125__k/status/1307431924026105856,3,3,0
https://twitter.com/12KYS_EXO/status/1317092510871662592,242,2,29
https://twitter.com/12KYS_EXO/status/1317296281203560448,43,0,15
https://twitter.com/12MARCH01/status/1317085896101961728,202,3,37
https://twitter.com/12MARCH01/status/1317432653688180736,22,2,5
https://twitter.com/12_fernzDec/status/1317688999633321985,103,2,51
https://twitter.com/12namnamFGRM/status/1307224875593916417,30,0,6
https://twitter.com/12namnamFGRM/status/1317087895627456513,16,1,1
https://twitter.com/12pixanaraom/status/1317351872362020866,14.4K,148,"1,704"
https://twitter.com/1301_lasttime/status/1317449948825223169,20,3,5
https://twitter.com/1304_aum/status/1317097043794391040,12,1,0
https://twitter.com/130itsme/status/1317444346367463424,86,2,78
https://twitter.com/131415pinky/status/1317160946956054528,0,1,2
https://twitter.com/1333gamko/status/1307484647547265024,"1,335",15,169
https://twitter.com/134340_qt/status/1317085983309930497,285,6,25
https://twitter.com/137Dark/status/1317438508936515586,38,2,11
https://twitter.com/13Chanphen/status/1317435319063433217,4,0,5
https://twitter.com/13FPI____/status/1317047508107894784,42.6K,143,"6,852"
https://twitter.com/13FPI____/status/1317047508107894784?s=19,42.6K,143,"6,852"
https://twitter.com/13FPI____/status/1317103059516837890,4,1,0
https://twitter.com/13FPI____/status/1317400909807185920,21,0,3
https://twitter.com/13Peachpat/status/1331400744512020482,"5,232",56,"1,644"
https://twitter.com/13_firs/status/1317371488996003844,7,0,2
https://twitter.com/13depct/status/1317411351921184770,"1,870",20,671
https://twitter.com/13kftnxx/status/1316621050730381312,"8,535",64,"2,599"
https://twitter.com/13kftnxx/status/1317488118375673858,143,6,48
https://twitter.com/13kftnxx/status/1317495249267085312,196,2,71
https://twitter.com/13ko22/status/1317077612515110912,10,0,0
https://twitter.com/13ko22/status/1317440775265812480,10,2,3
https://twitter.com/13mgrtglw/status/1317382156172226562,8,0,4
https://twitter.com/13ornzwndmcc/status/1317128523581026304,2,0,2
https://twitter.com/13pj__v2/status/1307391928716029953,"1,396",25,137
https://twitter.com/13pj__v2/status/1317397930685333508,629,9,130
https://twitter.com/13pj__v2/status/1317398996302790658,"1,128",13,201
https://twitter.com/13pj__v2/status/1317416708676734976,678,7,166
https://twitter.com/13pj__v2/status/1317419786322825216,"2,567",15,665
https://twitter.com/13pn1/status/1317341025963282432,"1,607",37,402
https://twitter.com/13pn1/status/1317426502384975872,30,0,3
https://twitter.com/13roronoa_zoro/status/1317098438417248258,5,1,0
https://twitter.com/1402lovegood_/status/1317442373299810309,3,0,0
https://twitter.com/1402ynw/status/1317053329852166145,20,1,4
https://twitter.com/1412KAT_/status/1317415124878020608,106,2,3
https://twitter.com/1412KAT_/status/1331622004730912769,51.1K,112,"8,019"
https://twitter.com/1412KAT_/status/1331625462750081024,11.5K,42,"1,610"
https://twitter.com/1412KAT_/status/1331625462750081024?s=19,11.5K,42,"1,610"
https://twitter.com/1412KAT_/status/1331627663019020289,11K,68,"1,352"
https://twitter.com/143LayEXO/status/1331519845402177536,902,12,389
https://twitter.com/143exosehun/status/1317090866834460675,18,2,5
https://twitter.com/145_KG/status/1284537343878164480,720,8,231
https://twitter.com/1485_exoforever/status/1317150506951856129,3,1,1
https://twitter.com/14JIJI_RR/status/1317136423502319616,2,1,1
https://twitter.com/14Q6NF30lK0wqBO/status/1317228681106923520,14,1,4
https://twitter.com/14RimLight/status/1317056944205541383,27,4,5
https://twitter.com/14_0121_tcx/status/1331488531366117377,"6,450",39,"1,111"
https://twitter.com/14kao16/status/1307389844574724098,115,2,10
https://twitter.com/14pcyy/status/1317424307941695488,9,0,2
https://twitter.com/14prils/status/1317098614154354694,152,3,6
https://twitter.com/14th_MOODZNiC/status/1317051027888091137,0,1,0
https://twitter.com/14thdays/status/1317126054100660224,0,1,1
https://twitter.com/1501_twt/status/1317033584713027584,35,6,6
https://twitter.com/1501_twt/status/1317450228757196800,14,2,9
https://twitter.com/1504fp/status/1307349907049648130,400,0,48
https://twitter.com/1504fp/status/1317317397473226753,444,2,85
https://twitter.com/1504fp/status/1317435738938462209,689,4,97
https://twitter.com/15102538t/status/1317126107997507584,6,0,2
https://twitter.com/1510daystomars/status/1317120311075119115,257,3,7
https://twitter.com/1521Kam/status/1317450145131155456,5,2,3
https://twitter.com/153cm_aom/status/1307390520272908288,113,5,9
https://twitter.com/153cm_aom/status/1307396992616677376,15,0,0
https://twitter.com/1546Markbam/status/1317405757655035904,0,1,1
https://twitter.com/15935723206mm/status/1230787563452956672,43.9K,168,"8,996"
https://twitter.com/159cmg/status/1269531880182837254,5,1,0
https://twitter.com/15Kakaisede/status/1317093843120971776,2,0,0
https://twitter.com/15Kakaisede/status/1317104296526192641,33,0,5
https://twitter.com/15_L_S/status/1317381124637691905,6,2,2
https://twitter.com/15morninggurlll/status/1317094307472445440,4,0,0
https://twitter.com/15morninggurlll/status/1317095824350867456,12,2,3
https://twitter.com/15morninggurlll/status/1317096851170996227,11,2,1
https://twitter.com/15nch20_lll/status/1317101046913667074,6,1,2
https://twitter.com/15nch20_lll/status/1317415319900573699,2,0,0
https://twitter.com/15stars800918/status/1317310679347441664,32,5,2
https://twitter.com/15thnv/status/1317073820168056832,23,2,2
https://twitter.com/15thnv/status/1317076021342973955,785,6,66
https://twitter.com/15thnv/status/1317400255445356544,6,0,0
https://twitter.com/1602_7/status/1197068386544390144,"1,704",6,649
https://twitter.com/1606Aun/status/1317485420448346112,9,0,2
https://twitter.com/169shop/status/1317403076270026753,119,0,6
https://twitter.com/1719do/status/1295243974072885248,44.4K,406,"7,635"
https://twitter.com/178Xn/status/1317267192019324928,"4,004",54,"1,510"
https://twitter.com/1797pp/status/1307626832208879616,429,10,179
https://twitter.com/1797pp/status/1331277099403907074,"1,394",44,263
https://twitter.com/1797pp/status/1331627566554255360,23K,83,"3,520"
https://twitter.com/1797pp/status/1331637131085692931,"3,212",11,565
https://twitter.com/17_ssp/status/1317082016744042497,4,1,1
https://twitter.com/17gknw/status/1317129579211890688,439,4,70
https://twitter.com/17teletubbies/status/1317438381530378242,3,0,8
https://twitter.com/1801dabi_/status/1317326392879648775,"6,328",10,581
https://twitter.com/1808x2508/status/1317088602614943744,30,3,0
https://twitter.com/1813Par/status/1317262911346155520,"4,910",27,"2,557"
https://twitter.com/1813Par/status/1317263585286868992,285,5,94
https://twitter.com/1813Par/status/1317267158158639104,34,8,13
https://twitter.com/1813Par/status/1317326784640151554,222,3,83
https://twitter.com/184cmmmm/status/1268876921409949696,2,1,2
https://twitter.com/186412545mind/status/1317077170703925248,1,1,0
https://twitter.com/1888p1/status/1317097507264946177,5,1,1
https://twitter.com/1888p1/status/1317103491676950528,62,2,4
https://twitter.com/18axDCM/status/1230783348152270850,"1,323",8,695
https://twitter.com/18hrHappy/status/1231942419786059776,400,7,74
https://twitter.com/18mk9/status/1317032680307871744,382,4,54
https://twitter.com/18octubreLibra/status/1317459979352330244,0,1,2
https://twitter.com/1909Mild/status/1317418281754525696,1,1,0
https://twitter.com/1947_00/status/1317086693627842560,10,1,2
https://twitter.com/1987lt/status/1317329019889577985,4,0,3
https://twitter.com/1991Supalek/status/1317417718740512768,3,0,0
https://twitter.com/1992Earthh/status/1316957201005674499,16.4K,90,"2,280"
https://twitter.com/1992Earthh/status/1316977539680710657,30.4K,98,"3,285"
https://twitter.com/1992Earthh/status/1317047045975273472,13.1K,131,"1,552"
https://twitter.com/1992Earthh/status/1317047476944171009,"1,390",14,233
https://twitter.com/1992Earthh/status/1317047758885277698,151,3,30
https://twitter.com/1992Earthh/status/1317049535101743104,946,8,229
https://twitter.com/1992Earthh/status/1317051551165206528,"4,849",42,846
https://twitter.com/1992Earthh/status/1317057174942613504,951,10,176
https://twitter.com/1992Earthh/status/1317058672749551618,"2,631",23,321
https://twitter.com/1992Earthh/status/1317063497939783680,705,15,197
https://twitter.com/1992Earthh/status/1317064631077122048,"1,670",20,257
https://twitter.com/1992Earthh/status/1317065428502376448,899,4,170
https://twitter.com/1992Earthh/status/1317067316404776960,10.7K,105,"1,035"
https://twitter.com/1992Earthh/status/1317071697267228674,"2,156",14,509
https://twitter.com/1992Earthh/status/1317072122267660289,"5,656",17,"1,316"
https://twitter.com/1992Earthh/status/1317072667237777409,"6,248",42,"1,213"
https://twitter.com/1992Earthh/status/1317074647867740162,22.8K,148,"2,607"
https://twitter.com/1992Earthh/status/1317075777989455876,10K,67,"1,661"
https://twitter.com/1992Earthh/status/1317077183077126144,"3,229",32,442
https://twitter.com/1992Earthh/status/1317077708187160578,34K,374,"4,259"
https://twitter.com/1992Earthh/status/1317077708187160578?s=09,34K,374,"4,259"
https://twitter.com/1992Earthh/status/1317078252666564610,"1,923",7,282
https://twitter.com/1992Earthh/status/1317078580120014848,"4,902",46,768
https://twitter.com/1992Earthh/status/1317079590188191744,"2,607",41,480
https://twitter.com/1992Earthh/status/1317080796897800197,"5,521",92,"1,083"
https://twitter.com/1992Earthh/status/1317082983384240128,"3,344",70,706
https://twitter.com/1992Earthh/status/1317083344845250560,27.6K,356,"3,973"
https://twitter.com/1992Earthh/status/1317084085731225602,"5,126",54,"1,137"
https://twitter.com/1992Earthh/status/1317084415655251968,"8,088",79,"1,464"
https://twitter.com/1992Earthh/status/1317084687357992961,"4,378",22,872
https://twitter.com/1992Earthh/status/1317087082729283585,"1,917",14,310
https://twitter.com/1992Earthh/status/1317089881626009602,231,2,45
https://twitter.com/1992Earthh/status/1317091825899892741,"3,902",38,819
https://twitter.com/1992Earthh/status/1317096354905088003,"1,726",4,298
https://twitter.com/1992Earthh/status/1317097496133267456,"1,177",9,251
https://twitter.com/1992Earthh/status/1317098846988632065,12.1K,166,"1,659"
https://twitter.com/1992Earthh/status/1317099534057570305,16.1K,277,"2,137"
https://twitter.com/1992Earthh/status/1317100973848817666,"1,836",16,438
